time_s,arduino_ms,force_N,rx_ohm,state,step,target_strain_pct,raw_line
0.0006111,3803734,-0.006,5.853,DONE,8,5,"DATA,3803734,-0.006,5.853,DONE,8,5.000"
0.0570358,3803834,-0.007,5.868,DONE,8,5,"DATA,3803834,-0.007,5.868,DONE,8,5.000"
0.1990198,3803934,-0.007,5.875,DONE,8,5,"DATA,3803934,-0.007,5.875,DONE,8,5.000"
0.2608926,3804034,-0.006,5.858,DONE,8,5,"DATA,3804034,-0.006,5.858,DONE,8,5.000"
0.3603723,3804134,-0.007,5.842,DONE,8,5,"DATA,3804134,-0.007,5.842,DONE,8,5.000"
0.4557064,3804234,-0.007,5.857,DONE,8,5,"DATA,3804234,-0.007,5.857,DONE,8,5.000"
0.5504105,3804334,-0.007,5.846,DONE,8,5,"DATA,3804334,-0.007,5.846,DONE,8,5.000"
0.6617546,3804434,-0.007,5.873,DONE,8,5,"DATA,3804434,-0.007,5.873,DONE,8,5.000"
0.7572461,3804534,-0.007,5.843,DONE,8,5,"DATA,3804534,-0.007,5.843,DONE,8,5.000"
0.8526303,3804634,-0.007,5.871,DONE,8,5,"DATA,3804634,-0.007,5.871,DONE,8,5.000"
0.9643074,3804734,-0.007,5.853,DONE,8,5,"DATA,3804734,-0.007,5.853,DONE,8,5.000"
1.0605982,3804834,-0.007,5.859,DONE,8,5,"DATA,3804834,-0.007,5.859,DONE,8,5.000"
1.1558113,3804934,-0.006,5.851,DONE,8,5,"DATA,3804934,-0.006,5.851,DONE,8,5.000"
1.2509574,3805034,-0.006,5.851,DONE,8,5,"DATA,3805034,-0.006,5.851,DONE,8,5.000"
1.3630202,3805134,-0.006,5.849,DONE,8,5,"DATA,3805134,-0.006,5.849,DONE,8,5.000"
1.4583663,3805234,-0.007,5.852,DONE,8,5,"DATA,3805234,-0.007,5.852,DONE,8,5.000"
1.5542015,3805334,-0.007,5.839,DONE,8,5,"DATA,3805334,-0.007,5.839,DONE,8,5.000"
1.6509419,3805434,-0.007,5.854,DONE,8,5,"DATA,3805434,-0.007,5.854,DONE,8,5.000"
1.7624648,3805534,-0.007,5.863,DONE,8,5,"DATA,3805534,-0.007,5.863,DONE,8,5.000"
1.8580831,3805634,-0.007,5.838,DONE,8,5,"DATA,3805634,-0.007,5.838,DONE,8,5.000"
1.9538511,3805734,-0.007,5.84,DONE,8,5,"DATA,3805734,-0.007,5.840,DONE,8,5.000"
2.0651875,3805834,-0.007,5.851,DONE,8,5,"DATA,3805834,-0.007,5.851,DONE,8,5.000"
2.1610523,3805934,-0.007,5.827,DONE,8,5,"DATA,3805934,-0.007,5.827,DONE,8,5.000"
2.2576765,3806034,-0.006,5.838,DONE,8,5,"DATA,3806034,-0.006,5.838,DONE,8,5.000"
2.3507434,3806134,-0.006,5.849,DONE,8,5,"DATA,3806134,-0.006,5.849,DONE,8,5.000"
2.4611253,3806234,-0.006,5.837,DONE,8,5,"DATA,3806234,-0.006,5.837,DONE,8,5.000"
2.5568454,3806334,-0.006,5.84,DONE,8,5,"DATA,3806334,-0.006,5.840,DONE,8,5.000"
2.6529163,3806434,-0.006,5.837,DONE,8,5,"DATA,3806434,-0.006,5.837,DONE,8,5.000"
2.7642803,3806534,-0.006,5.835,DONE,8,5,"DATA,3806534,-0.006,5.835,DONE,8,5.000"
2.8599547,3806634,-0.007,5.855,DONE,8,5,"DATA,3806634,-0.007,5.855,DONE,8,5.000"
2.9544822,3806734,-0.006,5.834,DONE,8,5,"DATA,3806734,-0.006,5.834,DONE,8,5.000"
3.064237,3806834,-0.006,5.845,DONE,8,5,"DATA,3806834,-0.006,5.845,DONE,8,5.000"
3.160401,3806934,-0.006,5.845,DONE,8,5,"DATA,3806934,-0.006,5.845,DONE,8,5.000"
3.2554263,3807034,-0.006,5.849,DONE,8,5,"DATA,3807034,-0.006,5.849,DONE,8,5.000"
3.3511753,3807134,-0.007,5.838,DONE,8,5,"DATA,3807134,-0.007,5.838,DONE,8,5.000"
3.4628672,3807234,-0.007,5.824,DONE,8,5,"DATA,3807234,-0.007,5.824,DONE,8,5.000"
3.5594984,3807334,-0.007,5.857,DONE,8,5,"DATA,3807334,-0.007,5.857,DONE,8,5.000"
3.6552527,3807434,-0.006,5.816,DONE,8,5,"DATA,3807434,-0.006,5.816,DONE,8,5.000"
3.7667899,3807534,-0.006,5.828,DONE,8,5,"DATA,3807534,-0.006,5.828,DONE,8,5.000"
3.8625202,3807634,-0.006,5.841,DONE,8,5,"DATA,3807634,-0.006,5.841,DONE,8,5.000"
3.9584137,3807734,-0.006,5.834,DONE,8,5,"DATA,3807734,-0.006,5.834,DONE,8,5.000"
4.0543236,3807834,-0.006,5.827,DONE,8,5,"DATA,3807834,-0.006,5.827,DONE,8,5.000"
4.1659259,3807934,-0.006,5.834,DONE,8,5,"DATA,3807934,-0.006,5.834,DONE,8,5.000"
4.261521,3808034,-0.007,5.843,DONE,8,5,"DATA,3808034,-0.007,5.843,DONE,8,5.000"
4.3558662,3808134,-0.007,5.832,DONE,8,5,"DATA,3808134,-0.007,5.832,DONE,8,5.000"
4.4669979,3808234,-0.007,5.844,DONE,8,5,"DATA,3808234,-0.007,5.844,DONE,8,5.000"
4.5629402,3808334,-0.006,5.847,DONE,8,5,"DATA,3808334,-0.006,5.847,DONE,8,5.000"
4.659116,3808434,-0.006,5.833,DONE,8,5,"DATA,3808434,-0.006,5.833,DONE,8,5.000"
4.754798,3808534,-0.006,5.851,DONE,8,5,"DATA,3808534,-0.006,5.851,DONE,8,5.000"
4.8661838,3808634,-0.006,5.85,DONE,8,5,"DATA,3808634,-0.006,5.850,DONE,8,5.000"
4.962554,3808734,-0.007,5.851,DONE,8,5,"DATA,3808734,-0.007,5.851,DONE,8,5.000"
5.0579806,3808834,-0.007,5.837,DONE,8,5,"DATA,3808834,-0.007,5.837,DONE,8,5.000"
5.153373,3808934,-0.007,5.837,DONE,8,5,"DATA,3808934,-0.007,5.837,DONE,8,5.000"
5.2654159,3809034,-0.007,5.855,DONE,8,5,"DATA,3809034,-0.007,5.855,DONE,8,5.000"
5.3616696,3809134,-0.006,5.842,DONE,8,5,"DATA,3809134,-0.006,5.842,DONE,8,5.000"
5.4574777,3809234,-0.006,5.852,DONE,8,5,"DATA,3809234,-0.006,5.852,DONE,8,5.000"
5.5536751,3809334,-0.007,5.849,DONE,8,5,"DATA,3809334,-0.007,5.849,DONE,8,5.000"
5.6644934,3809434,-0.007,5.869,DONE,8,5,"DATA,3809434,-0.007,5.869,DONE,8,5.000"
5.7612233,3809534,-0.006,5.855,DONE,8,5,"DATA,3809534,-0.006,5.855,DONE,8,5.000"
5.8565545,3809634,-0.006,5.871,DONE,8,5,"DATA,3809634,-0.006,5.871,DONE,8,5.000"
5.9677541,3809734,-0.006,5.85,DONE,8,5,"DATA,3809734,-0.006,5.850,DONE,8,5.000"
6.0624562,3809834,-0.006,5.849,DONE,8,5,"DATA,3809834,-0.006,5.849,DONE,8,5.000"
6.1588161,3809934,-0.006,5.845,DONE,8,5,"DATA,3809934,-0.006,5.845,DONE,8,5.000"
6.2540656,3810034,-0.007,5.875,DONE,8,5,"DATA,3810034,-0.007,5.875,DONE,8,5.000"
6.3654448,3810134,-0.007,5.858,DONE,8,5,"DATA,3810134,-0.007,5.858,DONE,8,5.000"
6.4604406,3810234,-0.006,5.853,DONE,8,5,"DATA,3810234,-0.006,5.853,DONE,8,5.000"
6.5561578,3810334,-0.006,5.839,DONE,8,5,"DATA,3810334,-0.006,5.839,DONE,8,5.000"
6.6675225,3810434,-0.007,5.841,DONE,8,5,"DATA,3810434,-0.007,5.841,DONE,8,5.000"
6.7634079,3810534,-0.006,5.866,DONE,8,5,"DATA,3810534,-0.006,5.866,DONE,8,5.000"
6.8598558,3810634,-0.006,5.865,DONE,8,5,"DATA,3810634,-0.006,5.865,DONE,8,5.000"
6.9536663,3810734,-0.006,5.863,DONE,8,5,"DATA,3810734,-0.006,5.863,DONE,8,5.000"
7.0639672,3810834,-0.007,5.867,DONE,8,5,"DATA,3810834,-0.007,5.867,DONE,8,5.000"
7.1590311,3810934,-0.007,5.858,DONE,8,5,"DATA,3810934,-0.007,5.858,DONE,8,5.000"
8.1216839,3811891,0,5.67,DONE,8,5,"DATA,3811891,0.000,5.670,DONE,8,5.000"
8.2181503,3811991,0,5.726,DONE,8,5,"DATA,3811991,0.000,5.726,DONE,8,5.000"
8.3140451,3812091,0,5.644,DONE,8,5,"DATA,3812091,0.000,5.644,DONE,8,5.000"
8.4255135,3812191,-0,5.747,DONE,8,5,"DATA,3812191,-0.000,5.747,DONE,8,5.000"
8.5207426,3812291,0,5.69,DONE,8,5,"DATA,3812291,0.000,5.690,DONE,8,5.000"
8.6160653,3812391,0,5.742,DONE,8,5,"DATA,3812391,0.000,5.742,DONE,8,5.000"
8.7120455,3812491,0,5.695,DONE,8,5,"DATA,3812491,0.000,5.695,DONE,8,5.000"
8.8231317,3812591,0,5.716,DONE,8,5,"DATA,3812591,0.000,5.716,DONE,8,5.000"
8.9195568,3812691,-0,5.745,DONE,8,5,"DATA,3812691,-0.000,5.745,DONE,8,5.000"
9.0136698,3812791,0,5.697,DONE,8,5,"DATA,3812791,0.000,5.697,DONE,8,5.000"
9.1252767,3812891,-0,5.725,DONE,8,5,"DATA,3812891,-0.000,5.725,DONE,8,5.000"
9.2197314,3812991,0,5.67,DONE,8,5,"DATA,3812991,0.000,5.670,DONE,8,5.000"
9.3151937,3813091,0,5.7,DONE,8,5,"DATA,3813091,0.000,5.700,DONE,8,5.000"
9.4242383,3813191,0,5.725,DONE,8,5,"DATA,3813191,0.000,5.725,DONE,8,5.000"
9.5197688,3813291,0,5.71,DONE,8,5,"DATA,3813291,0.000,5.710,DONE,8,5.000"
9.6146105,3813391,0,5.729,DONE,8,5,"DATA,3813391,0.000,5.729,DONE,8,5.000"
9.7257302,3813491,0,5.694,DONE,8,5,"DATA,3813491,0.000,5.694,DONE,8,5.000"
9.8215665,3813591,0,5.704,DONE,8,5,"DATA,3813591,0.000,5.704,DONE,8,5.000"
9.9171074,3813691,0,5.715,DONE,8,5,"DATA,3813691,0.000,5.715,DONE,8,5.000"
10.0130245,3813791,-0,5.699,DONE,8,5,"DATA,3813791,-0.000,5.699,DONE,8,5.000"
10.1232695,3813891,-0,5.7,DONE,8,5,"DATA,3813891,-0.000,5.700,DONE,8,5.000"
10.2193746,3813991,0,5.712,DONE,8,5,"DATA,3813991,0.000,5.712,DONE,8,5.000"
10.3134804,3814091,0,5.709,DONE,8,5,"DATA,3814091,0.000,5.709,DONE,8,5.000"
10.4242668,3814191,0,5.718,DONE,8,5,"DATA,3814191,0.000,5.718,DONE,8,5.000"
10.5193204,3814291,0,5.707,DONE,8,5,"DATA,3814291,0.000,5.707,DONE,8,5.000"
10.6159494,3814391,0,5.714,DONE,8,5,"DATA,3814391,0.000,5.714,DONE,8,5.000"
10.727054,3814491,0,5.714,DONE,8,5,"DATA,3814491,0.000,5.714,DONE,8,5.000"
10.8218411,3814591,-0,5.727,DONE,8,5,"DATA,3814591,-0.000,5.727,DONE,8,5.000"
10.9172468,3814691,-0,5.72,DONE,8,5,"DATA,3814691,-0.000,5.720,DONE,8,5.000"
11.0287164,3814791,0,4.883,DONE,8,5,"DATA,3814791,0.000,4.883,DONE,8,5.000"
11.1241566,3814891,-0,5.716,DONE,8,5,"DATA,3814891,-0.000,5.716,DONE,8,5.000"
11.2195537,3814991,-0,5.733,DONE,8,5,"DATA,3814991,-0.000,5.733,DONE,8,5.000"
11.3149628,3815091,-0,5.724,DONE,8,5,"DATA,3815091,-0.000,5.724,DONE,8,5.000"
11.4263657,3815191,0,5.503,PRELOAD,-1,0,"DATA,3815191,0.000,5.503,PRELOAD,-1,0.000"
11.5221794,3815291,0,5.57,PRELOAD,-1,0,"DATA,3815291,0.000,5.570,PRELOAD,-1,0.000"
11.6164223,3815391,0,5.663,PRELOAD,-1,0,"DATA,3815391,0.000,5.663,PRELOAD,-1,0.000"
11.7282827,3815491,0.001,5.296,PRELOAD,-1,0,"DATA,3815491,0.001,5.296,PRELOAD,-1,0.000"
11.8235533,3815591,0.002,5.287,PRELOAD,-1,0,"DATA,3815591,0.002,5.287,PRELOAD,-1,0.000"
11.9191569,3815691,0.003,5.429,PRELOAD,-1,0,"DATA,3815691,0.003,5.429,PRELOAD,-1,0.000"
12.0309824,3815791,0.004,5.488,PRELOAD,-1,0,"DATA,3815791,0.004,5.488,PRELOAD,-1,0.000"
12.1265365,3815891,0.005,5.611,PRELOAD,-1,0,"DATA,3815891,0.005,5.611,PRELOAD,-1,0.000"
12.2216171,3815991,0.007,5.551,PRELOAD,-1,0,"DATA,3815991,0.007,5.551,PRELOAD,-1,0.000"
12.3166357,3816091,0.008,5.474,PRELOAD,-1,0,"DATA,3816091,0.008,5.474,PRELOAD,-1,0.000"
12.4283661,3816191,0.01,5.254,PRELOAD,-1,0,"DATA,3816191,0.010,5.254,PRELOAD,-1,0.000"
12.5230534,3816291,0.011,5.425,PRELOAD,-1,0,"DATA,3816291,0.011,5.425,PRELOAD,-1,0.000"
12.6179739,3816391,0.012,5.509,PRELOAD,-1,0,"DATA,3816391,0.012,5.509,PRELOAD,-1,0.000"
12.7292354,3816491,0.013,5.593,PRELOAD,-1,0,"DATA,3816491,0.013,5.593,PRELOAD,-1,0.000"
12.8257931,3816591,0.014,5.541,PRELOAD,-1,0,"DATA,3816591,0.014,5.541,PRELOAD,-1,0.000"
12.9215387,3816691,0.016,5.36,PRELOAD,-1,0,"DATA,3816691,0.016,5.360,PRELOAD,-1,0.000"
13.0171538,3816791,0.017,5.372,PRELOAD,-1,0,"DATA,3816791,0.017,5.372,PRELOAD,-1,0.000"
13.1285954,3816891,0.018,5.321,PRELOAD,-1,0,"DATA,3816891,0.018,5.321,PRELOAD,-1,0.000"
13.2238786,3816991,0.02,5.419,PRELOAD,-1,0,"DATA,3816991,0.020,5.419,PRELOAD,-1,0.000"
