time_s,arduino_ms,rx_ohm,delta_r,raw_line
0.0004188,462413,235.915,0.049,"DATA,462413,235.915,0.049"
0.0211508,462463,236.032,0.165,"DATA,462463,236.032,0.165"
0.1776836,462513,236.003,0.136,"DATA,462513,236.003,0.136"
0.1791472,462563,235.944,0.077,"DATA,462563,235.944,0.077"
0.1803691,462613,235.966,0.099,"DATA,462613,235.966,0.099"
0.221278,462663,235.922,0.056,"DATA,462663,235.922,0.056"
0.2727941,462713,235.981,0.115,"DATA,462713,235.981,0.115"
0.322257,462763,235.915,0.049,"DATA,462763,235.915,0.049"
0.3711656,462813,235.942,0.076,"DATA,462813,235.942,0.076"
0.4214898,462863,235.939,0.072,"DATA,462863,235.939,0.072"
0.4718227,462913,236.026,0.16,"DATA,462913,236.026,0.160"
0.5217664,462963,235.982,0.115,"DATA,462963,235.982,0.115"
0.5714054,463013,235.981,0.115,"DATA,463013,235.981,0.115"
0.6216419,463063,235.923,0.056,"DATA,463063,235.923,0.056"
0.6714195,463113,235.828,-0.039,"DATA,463113,235.828,-0.039"
0.725746,463163,235.77,-0.097,"DATA,463163,235.770,-0.097"
0.7711988,463213,235.802,-0.065,"DATA,463213,235.802,-0.065"
0.8215568,463263,235.828,-0.039,"DATA,463263,235.828,-0.039"
0.87212,463313,235.819,-0.048,"DATA,463313,235.819,-0.048"
0.9230129,463363,235.809,-0.058,"DATA,463363,235.809,-0.058"
0.9713911,463413,235.758,-0.108,"DATA,463413,235.758,-0.108"
1.022238,463463,235.799,-0.068,"DATA,463463,235.799,-0.068"
1.0717524,463513,235.794,-0.073,"DATA,463513,235.794,-0.073"
1.1215391,463563,235.606,-0.261,"DATA,463563,235.606,-0.261"
1.1721903,463613,235.736,-0.131,"DATA,463613,235.736,-0.131"
1.2216312,463663,235.749,-0.118,"DATA,463663,235.749,-0.118"
1.2772266,463713,235.724,-0.143,"DATA,463713,235.724,-0.143"
1.3211839,463763,235.554,-0.312,"DATA,463763,235.554,-0.312"
1.3712248,463813,235.703,-0.164,"DATA,463813,235.703,-0.164"
1.4225981,463863,235.674,-0.193,"DATA,463863,235.674,-0.193"
1.4722447,463913,235.704,-0.162,"DATA,463913,235.704,-0.162"
1.5223405,463963,235.645,-0.221,"DATA,463963,235.645,-0.221"
1.5715273,464013,235.649,-0.218,"DATA,464013,235.649,-0.218"
1.6217908,464063,235.69,-0.177,"DATA,464063,235.690,-0.177"
1.6716173,464113,235.654,-0.213,"DATA,464113,235.654,-0.213"
1.7216787,464163,235.718,-0.148,"DATA,464163,235.718,-0.148"
1.7713535,464213,235.635,-0.232,"DATA,464213,235.635,-0.232"
1.8257973,464263,235.704,-0.163,"DATA,464263,235.704,-0.163"
1.8713455,464313,235.653,-0.214,"DATA,464313,235.653,-0.214"
1.9235994,464363,235.64,-0.227,"DATA,464363,235.640,-0.227"
1.9712536,464413,235.636,-0.231,"DATA,464413,235.636,-0.231"
2.0223947,464463,235.671,-0.196,"DATA,464463,235.671,-0.196"
2.0713771,464513,235.641,-0.226,"DATA,464513,235.641,-0.226"
2.1226133,464563,235.575,-0.292,"DATA,464563,235.575,-0.292"
2.1716886,464613,235.632,0.057,"DATA,464613,235.632,0.057"
2.2214649,464663,235.665,0.09,"DATA,464663,235.665,0.090"
2.2715158,464713,235.661,0.086,"DATA,464713,235.661,0.086"
2.3214392,464763,235.638,0.063,"DATA,464763,235.638,0.063"
2.3736731,464813,235.614,0.039,"DATA,464813,235.614,0.039"
2.421417,464863,235.599,0.024,"DATA,464863,235.599,0.024"
