time_s,arduino_ms,rx_ohm,delta_r,raw_line
0.0173756,1126413,237.077,0.413,"DATA,1126413,237.077,0.413"
0.0526256,1126463,237.143,0.479,"DATA,1126463,237.143,0.479"
0.1782096,1126513,237.142,0.478,"DATA,1126513,237.142,0.478"
0.1792445,1126563,237.033,0.369,"DATA,1126563,237.033,0.369"
0.2019561,1126613,237.164,0.5,"DATA,1126613,237.164,0.500"
0.2521545,1126663,237.132,0.468,"DATA,1126663,237.132,0.468"
0.30208,1126713,237.123,0.459,"DATA,1126713,237.123,0.459"
0.3519816,1126763,237.013,0.349,"DATA,1126763,237.013,0.349"
0.4035691,1126813,237.104,0.44,"DATA,1126813,237.104,0.440"
0.4554577,1126863,237.044,0.381,"DATA,1126863,237.044,0.381"
0.5018182,1126913,237.074,0.41,"DATA,1126913,237.074,0.410"
0.5516777,1126963,237.002,0.338,"DATA,1126963,237.002,0.338"
0.6027112,1127013,237.039,0.375,"DATA,1127013,237.039,0.375"
0.6521622,1127063,237.025,0.361,"DATA,1127063,237.025,0.361"
0.7016478,1127113,237.037,0.373,"DATA,1127113,237.037,0.373"
0.7528572,1127163,237.011,0.347,"DATA,1127163,237.011,0.347"
0.803925,1127213,237.039,0.375,"DATA,1127213,237.039,0.375"
0.8527851,1127263,237.024,-0.016,"DATA,1127263,237.024,-0.016"
0.9022865,1127313,237.001,-0.038,"DATA,1127313,237.001,-0.038"
0.9525209,1127363,236.971,-0.068,"DATA,1127363,236.971,-0.068"
1.0063154,1127413,236.964,-0.076,"DATA,1127413,236.964,-0.076"
1.0524289,1127463,236.936,-0.103,"DATA,1127463,236.936,-0.103"
1.1028067,1127513,236.955,-0.084,"DATA,1127513,236.955,-0.084"
1.1526469,1127563,236.933,-0.106,"DATA,1127563,236.933,-0.106"
1.2016978,1127613,236.922,-0.117,"DATA,1127613,236.922,-0.117"
1.2520927,1127663,236.934,-0.105,"DATA,1127663,236.934,-0.105"
1.3026787,1127713,236.951,-0.089,"DATA,1127713,236.951,-0.089"
1.3521201,1127763,236.944,-0.096,"DATA,1127763,236.944,-0.096"
1.4019608,1127813,236.925,-0.115,"DATA,1127813,236.925,-0.115"
1.4487581,1127863,236.939,-0.1,"DATA,1127863,236.939,-0.100"
1.5016232,1127913,236.815,-0.224,"DATA,1127913,236.815,-0.224"
1.5565262,1127963,236.954,-0.085,"DATA,1127963,236.954,-0.085"
1.6017346,1128013,236.932,-0.108,"DATA,1128013,236.932,-0.108"
1.6526709,1128063,236.928,-0.111,"DATA,1128063,236.928,-0.111"
1.7015794,1128113,236.743,-0.296,"DATA,1128113,236.743,-0.296"
1.7533122,1128163,236.937,-0.103,"DATA,1128163,236.937,-0.103"
1.8025718,1128213,236.943,-0.096,"DATA,1128213,236.943,-0.096"
1.8520821,1128263,236.925,-0.115,"DATA,1128263,236.925,-0.115"
1.9020426,1128313,236.861,-0.178,"DATA,1128313,236.861,-0.178"
1.9530485,1128363,236.962,-0.077,"DATA,1128363,236.962,-0.077"
