time_s,arduino_ms,rx_ohm,delta_r,raw_line
0.0175933,17213,235.707,0.175,"DATA,17213,235.707,0.175"
0.0544829,17263,235.664,0.132,"DATA,17263,235.664,0.132"
0.2077979,17313,235.666,0.134,"DATA,17313,235.666,0.134"
0.2091727,17363,235.648,0.116,"DATA,17363,235.648,0.116"
0.2101466,17413,235.639,0.108,"DATA,17413,235.639,0.108"
0.2612816,17463,235.68,0.148,"DATA,17463,235.680,0.148"
0.3071339,17513,235.568,0.036,"DATA,17513,235.568,0.036"
0.35578,17563,235.64,0.108,"DATA,17563,235.640,0.108"
0.4045139,17613,235.602,0.07,"DATA,17613,235.602,0.070"
0.4556941,17663,235.619,0.088,"DATA,17663,235.619,0.088"
0.5047361,17713,235.435,-0.097,"DATA,17713,235.435,-0.097"
0.555576,17763,235.694,0.162,"DATA,17763,235.694,0.162"
0.6044891,17813,235.655,0.123,"DATA,17813,235.655,0.123"
0.6547395,17863,235.647,0.115,"DATA,17863,235.647,0.115"
0.7054927,17913,235.861,0.329,"DATA,17913,235.861,0.329"
0.7580312,17963,236.133,0.602,"DATA,17963,236.133,0.602"
0.8054278,18013,235.894,0.362,"DATA,18013,235.894,0.362"
0.8554942,18063,235.875,0.344,"DATA,18063,235.875,0.344"
0.9051595,18113,235.819,0.287,"DATA,18113,235.819,0.287"
0.9543487,18163,235.769,0.237,"DATA,18163,235.769,0.237"
1.0046236,18213,235.724,0.193,"DATA,18213,235.724,0.193"
1.0547052,18263,235.721,0.189,"DATA,18263,235.721,0.189"
1.1048261,18313,235.646,0.115,"DATA,18313,235.646,0.115"
1.154951,18363,235.636,0.104,"DATA,18363,235.636,0.104"
1.201777,18413,235.583,0.051,"DATA,18413,235.583,0.051"
1.2564086,18463,235.587,0.055,"DATA,18463,235.587,0.055"
1.3091709,18513,235.583,0.051,"DATA,18513,235.583,0.051"
1.3573117,18563,235.678,0.147,"DATA,18563,235.678,0.147"
1.4052659,18613,235.695,0.163,"DATA,18613,235.695,0.163"
1.4551057,18663,235.656,0.124,"DATA,18663,235.656,0.124"
1.5047545,18713,235.634,0.102,"DATA,18713,235.634,0.102"
1.5546288,18763,235.514,-0.017,"DATA,18763,235.514,-0.017"
1.6068655,18813,235.502,-0.03,"DATA,18813,235.502,-0.030"
1.6548789,18863,235.441,-0.09,"DATA,18863,235.441,-0.090"
1.696776,18913,235.495,-0.036,"DATA,18913,235.495,-0.036"
1.7556253,18963,235.441,-0.091,"DATA,18963,235.441,-0.091"
1.805039,19013,235.431,-0.101,"DATA,19013,235.431,-0.101"
1.8602245,19063,235.206,-0.326,"DATA,19063,235.206,-0.326"
1.9053801,19113,235.423,-0.108,"DATA,19113,235.423,-0.108"
1.9543851,19163,235.396,-0.135,"DATA,19163,235.396,-0.135"
2.006333,19213,235.409,-0.123,"DATA,19213,235.409,-0.123"
2.0543668,19263,235.247,-0.285,"DATA,19263,235.247,-0.285"
2.1046281,19313,235.476,-0.056,"DATA,19313,235.476,-0.056"
2.1548927,19363,235.549,0.017,"DATA,19363,235.549,0.017"
2.2059036,19413,235.538,0.006,"DATA,19413,235.538,0.006"
2.2546181,19463,235.48,-0.052,"DATA,19463,235.480,-0.052"
2.3048436,19513,235.455,-0.077,"DATA,19513,235.455,-0.077"
2.3554912,19563,235.383,-0.148,"DATA,19563,235.383,-0.148"
2.4091289,19613,235.399,-0.133,"DATA,19613,235.399,-0.133"
2.4544235,19663,235.402,-0.13,"DATA,19663,235.402,-0.130"
2.5053971,19713,235.371,-0.161,"DATA,19713,235.371,-0.161"
2.5545165,19763,235.378,-0.154,"DATA,19763,235.378,-0.154"
2.6054967,19813,235.327,-0.205,"DATA,19813,235.327,-0.205"
2.6545666,19863,235.312,-0.22,"DATA,19863,235.312,-0.220"
2.7048429,19913,235.35,-0.182,"DATA,19913,235.350,-0.182"
2.7551617,19963,235.317,-0.215,"DATA,19963,235.317,-0.215"
2.805975,20013,235.394,-0.138,"DATA,20013,235.394,-0.138"
2.854804,20063,235.403,-0.128,"DATA,20063,235.403,-0.128"
2.9065541,20113,235.493,-0.039,"DATA,20113,235.493,-0.039"
2.957739,20163,235.495,0.003,"DATA,20163,235.495,0.003"
3.004702,20213,235.522,0.029,"DATA,20213,235.522,0.029"
3.0546125,20263,235.48,-0.013,"DATA,20263,235.480,-0.013"
3.1053875,20313,235.543,0.05,"DATA,20313,235.543,0.050"
3.1554316,20363,235.481,-0.012,"DATA,20363,235.481,-0.012"
3.2054879,20413,235.318,-0.174,"DATA,20413,235.318,-0.174"
3.254769,20463,235.386,-0.107,"DATA,20463,235.386,-0.107"
3.3049591,20513,235.383,-0.11,"DATA,20513,235.383,-0.110"
3.3547705,20563,235.304,-0.188,"DATA,20563,235.304,-0.188"
3.4047601,20613,235.122,-0.37,"DATA,20613,235.122,-0.370"
3.4545786,20663,235.329,-0.164,"DATA,20663,235.329,-0.164"
3.5060792,20713,235.424,-0.069,"DATA,20713,235.424,-0.069"
3.5546015,20763,235.368,-0.125,"DATA,20763,235.368,-0.125"
3.6042835,20813,235.324,-0.168,"DATA,20813,235.324,-0.168"
3.6544177,20863,235.326,-0.167,"DATA,20863,235.326,-0.167"
3.7052656,20913,235.352,-0.141,"DATA,20913,235.352,-0.141"
3.7550361,20963,235.385,-0.108,"DATA,20963,235.385,-0.108"
3.8048257,21013,235.294,-0.199,"DATA,21013,235.294,-0.199"
3.855276,21063,235.315,-0.178,"DATA,21063,235.315,-0.178"
3.905657,21113,235.337,-0.155,"DATA,21113,235.337,-0.155"
3.9547579,21163,235.295,-0.198,"DATA,21163,235.295,-0.198"
4.0047846,21213,235.264,-0.229,"DATA,21213,235.264,-0.229"
4.0546508,21263,235.252,-0.241,"DATA,21263,235.252,-0.241"
4.108061,21313,235.274,-0.219,"DATA,21313,235.274,-0.219"
4.1550119,21363,235.266,-0.226,"DATA,21363,235.266,-0.226"
4.2046649,21413,235.267,-0.226,"DATA,21413,235.267,-0.226"
4.2554783,21463,235.249,-0.244,"DATA,21463,235.249,-0.244"
4.3047365,21513,235.284,-0.208,"DATA,21513,235.284,-0.208"
4.3567157,21563,235.92,0.427,"DATA,21563,235.920,0.427"
4.404868,21613,235.983,0.49,"DATA,21613,235.983,0.490"
4.4547299,21663,236.023,0.53,"DATA,21663,236.023,0.530"
4.5048229,21713,235.939,0.446,"DATA,21713,235.939,0.446"
4.5557113,21763,235.919,0.426,"DATA,21763,235.919,0.426"
4.6072325,21813,235.953,0.46,"DATA,21813,235.953,0.460"
4.6558668,21863,235.928,0.436,"DATA,21863,235.928,0.436"
4.7047278,21913,235.886,0.393,"DATA,21913,235.886,0.393"
4.7555167,21963,235.724,0.232,"DATA,21963,235.724,0.232"
4.8054542,22013,235.921,0.429,"DATA,22013,235.921,0.429"
4.8545724,22063,235.914,0.421,"DATA,22063,235.914,0.421"
4.9066603,22113,235.903,0.41,"DATA,22113,235.903,0.410"
4.9546995,22163,235.796,0.303,"DATA,22163,235.796,0.303"
5.0050649,22213,235.877,0.384,"DATA,22213,235.877,0.384"
5.0547377,22263,235.91,0.417,"DATA,22263,235.910,0.417"
5.1047058,22313,235.803,0.311,"DATA,22313,235.803,0.311"
5.1574494,22363,235.881,0.388,"DATA,22363,235.881,0.388"
5.2048561,22413,235.834,0.341,"DATA,22413,235.834,0.341"
5.2545353,22463,235.764,0.272,"DATA,22463,235.764,0.272"
5.305422,22513,235.8,0.307,"DATA,22513,235.800,0.307"
5.3563554,22563,235.839,0.346,"DATA,22563,235.839,0.346"
5.4045165,22613,235.775,0.282,"DATA,22613,235.775,0.282"
5.4549447,22663,235.781,0.288,"DATA,22663,235.781,0.288"
5.5057876,22713,235.654,0.161,"DATA,22713,235.654,0.161"
5.5560481,22763,235.723,0.23,"DATA,22763,235.723,0.230"
5.6047924,22813,235.663,0.17,"DATA,22813,235.663,0.170"
5.6545124,22863,235.935,0.443,"DATA,22863,235.935,0.443"
5.7048214,22913,236.086,0.594,"DATA,22913,236.086,0.594"
5.7596807,22963,236.352,0.859,"DATA,22963,236.352,0.859"
5.8046682,23013,236.334,0.841,"DATA,23013,236.334,0.841"
5.8556181,23063,236.487,0.994,"DATA,23063,236.487,0.994"
5.9056789,23113,236.687,1.194,"DATA,23113,236.687,1.194"
5.9546062,23163,236.84,1.348,"DATA,23163,236.840,1.348"
6.004867,23213,237.209,1.716,"DATA,23213,237.209,1.716"
6.0550759,23263,237.317,1.824,"DATA,23263,237.317,1.824"
6.1047686,23313,237.408,1.915,"DATA,23313,237.408,1.915"
6.1547728,23363,237.622,2.129,"DATA,23363,237.622,2.129"
6.2046671,23413,237.558,2.066,"DATA,23413,237.558,2.066"
6.2579265,23463,237.696,2.204,"DATA,23463,237.696,2.204"
6.3047861,23513,237.594,2.101,"DATA,23513,237.594,2.101"
6.3555378,23563,238.417,2.924,"DATA,23563,238.417,2.924"
6.4045058,23613,238.492,2.999,"DATA,23613,238.492,2.999"
6.4554484,23663,238.587,3.094,"DATA,23663,238.587,3.094"
6.5048657,23713,238.562,3.069,"DATA,23713,238.562,3.069"
6.5558742,23763,238.573,3.081,"DATA,23763,238.573,3.081"
6.6048879,23813,238.432,2.94,"DATA,23813,238.432,2.940"
6.654697,23863,238.359,2.867,"DATA,23863,238.359,2.867"
6.7046433,23913,238.265,2.773,"DATA,23913,238.265,2.773"
6.7566668,23963,238.221,2.728,"DATA,23963,238.221,2.728"
6.8045337,24013,238.185,2.693,"DATA,24013,238.185,2.693"
6.8554686,24063,238.15,2.657,"DATA,24063,238.150,2.657"
6.9053782,24113,238.11,2.617,"DATA,24113,238.110,2.617"
6.955514,24163,238.129,2.636,"DATA,24163,238.129,2.636"
7.0061451,24213,238.08,2.587,"DATA,24213,238.080,2.587"
7.0561524,24263,238.067,2.574,"DATA,24263,238.067,2.574"
7.1059077,24313,238.052,2.559,"DATA,24313,238.052,2.559"
7.1550393,24363,238.018,2.525,"DATA,24363,238.018,2.525"
7.205815,24413,238.035,2.542,"DATA,24413,238.035,2.542"
7.2551544,24463,237.922,2.429,"DATA,24463,237.922,2.429"
7.3044189,24513,237.99,2.497,"DATA,24513,237.990,2.497"
7.3588528,24563,238.004,2.512,"DATA,24563,238.004,2.512"
7.4060954,24613,237.943,2.45,"DATA,24613,237.943,2.450"
7.45467,24663,237.835,2.342,"DATA,24663,237.835,2.342"
7.5044632,24713,237.952,2.459,"DATA,24713,237.952,2.459"
7.5563771,24763,237.95,2.458,"DATA,24763,237.950,2.458"
7.6048925,24813,237.929,2.436,"DATA,24813,237.929,2.436"
7.6547855,24863,237.69,2.197,"DATA,24863,237.690,2.197"
7.7056675,24913,237.815,2.322,"DATA,24913,237.815,2.322"
7.7555918,24963,237.717,2.225,"DATA,24963,237.717,2.225"
7.8048651,25013,237.695,2.202,"DATA,25013,237.695,2.202"
7.8548656,25063,237.626,2.133,"DATA,25063,237.626,2.133"
7.9070818,25113,237.627,2.134,"DATA,25113,237.627,2.134"
7.9559283,25163,237.565,2.072,"DATA,25163,237.565,2.072"
8.0055236,25213,237.557,2.065,"DATA,25213,237.557,2.065"
8.0555291,25263,237.546,2.053,"DATA,25263,237.546,2.053"
8.1053135,25313,237.483,1.991,"DATA,25313,237.483,1.991"
8.154706,25363,237.47,1.978,"DATA,25363,237.470,1.978"
8.205672,25413,237.468,1.975,"DATA,25413,237.468,1.975"
8.2572499,25463,237.435,1.942,"DATA,25463,237.435,1.942"
8.3048146,25513,237.44,1.947,"DATA,25513,237.440,1.947"
8.3547282,25563,237.366,1.873,"DATA,25563,237.366,1.873"
8.4057581,25613,237.397,1.905,"DATA,25613,237.397,1.905"
