time_s,arduino_ms,rx_ohm,delta_r,raw_line
0.0004404,68413,236.864,0.846,"DATA,68413,236.864,0.846"
0.0199954,68463,236.871,0.853,"DATA,68463,236.871,0.853"
0.0664756,68513,236.791,0.773,"DATA,68513,236.791,0.773"
0.159979,68563,236.65,0.632,"DATA,68563,236.650,0.632"
0.1610731,68613,236.688,0.67,"DATA,68613,236.688,0.670"
0.2185417,68663,236.716,0.698,"DATA,68663,236.716,0.698"
0.2686681,68713,236.67,0.652,"DATA,68713,236.670,0.652"
0.3251372,68763,236.634,0.616,"DATA,68763,236.634,0.616"
0.3684465,68813,236.626,0.608,"DATA,68813,236.626,0.608"
0.4196353,68863,236.571,0.553,"DATA,68863,236.571,0.553"
0.468309,68913,236.571,0.553,"DATA,68913,236.571,0.553"
0.5185715,68963,236.647,0.63,"DATA,68963,236.647,0.630"
0.5696136,69013,236.72,0.702,"DATA,69013,236.720,0.702"
0.6189951,69063,236.74,0.723,"DATA,69063,236.740,0.723"
0.6695096,69113,236.68,0.663,"DATA,69113,236.680,0.663"
0.719533,69163,236.634,0.616,"DATA,69163,236.634,0.616"
0.7686006,69213,236.581,0.563,"DATA,69213,236.581,0.563"
0.8202997,69263,236.555,0.537,"DATA,69263,236.555,0.537"
0.8682989,69313,236.541,0.523,"DATA,69313,236.541,0.523"
0.9193372,69363,236.512,0.494,"DATA,69363,236.512,0.494"
0.9695673,69413,236.487,0.469,"DATA,69413,236.487,0.469"
1.0185685,69463,236.46,0.442,"DATA,69463,236.460,0.442"
1.0687602,69513,236.407,0.389,"DATA,69513,236.407,0.389"
1.1112791,69563,236.488,0.47,"DATA,69563,236.488,0.470"
1.1696524,69613,236.483,0.465,"DATA,69613,236.483,0.465"
1.2190951,69663,236.466,0.448,"DATA,69663,236.466,0.448"
1.2685944,69713,236.283,0.265,"DATA,69713,236.283,0.265"
1.320804,69763,236.472,0.454,"DATA,69763,236.472,0.454"
1.3704636,69813,236.433,0.415,"DATA,69813,236.433,0.415"
1.4197152,69863,236.414,0.396,"DATA,69863,236.414,0.396"
1.4704094,69913,236.312,0.294,"DATA,69913,236.312,0.294"
1.5185091,69963,236.425,0.407,"DATA,69963,236.425,0.407"
1.5689424,70013,236.387,0.369,"DATA,70013,236.387,0.369"
1.6185848,70063,236.439,0.421,"DATA,70063,236.439,0.421"
1.6687759,70113,236.364,0.346,"DATA,70113,236.364,0.346"
1.7186848,70163,236.396,0.378,"DATA,70163,236.396,0.378"
1.7697201,70213,236.419,0.401,"DATA,70213,236.419,0.401"
1.8199744,70263,236.403,0.386,"DATA,70263,236.403,0.386"
1.8726311,70313,236.343,0.326,"DATA,70313,236.343,0.326"
1.9194166,70363,236.442,0.424,"DATA,70363,236.442,0.424"
1.9694536,70413,236.432,0.414,"DATA,70413,236.432,0.414"
2.0197696,70463,236.473,0.455,"DATA,70463,236.473,0.455"
2.0696163,70513,236.425,0.407,"DATA,70513,236.425,0.407"
2.1186989,70563,236.42,0.402,"DATA,70563,236.420,0.402"
2.1686877,70613,236.394,0.376,"DATA,70613,236.394,0.376"
2.2189138,70663,236.378,0.36,"DATA,70663,236.378,0.360"
2.2697644,70713,236.39,0.372,"DATA,70713,236.390,0.372"
2.3187339,70763,236.399,0.381,"DATA,70763,236.399,0.381"
2.3696735,70813,236.364,0.346,"DATA,70813,236.364,0.346"
2.4216673,70863,236.37,0.352,"DATA,70863,236.370,0.352"
2.468584,70913,236.363,0.345,"DATA,70913,236.363,0.345"
2.5185147,70963,236.39,0.372,"DATA,70963,236.390,0.372"
2.5695248,71013,236.343,0.325,"DATA,71013,236.343,0.325"
2.6185562,71063,236.221,0.203,"DATA,71063,236.221,0.203"
2.668669,71113,236.361,0.343,"DATA,71113,236.361,0.343"
2.7195209,71163,236.38,0.019,"DATA,71163,236.380,0.019"
2.7689863,71213,236.321,-0.04,"DATA,71213,236.321,-0.040"
2.8166863,71263,236.145,-0.215,"DATA,71263,236.145,-0.215"
