time_s,arduino_ms,rx_ohm,delta_r,raw_line
0.0171078,403213,237.8,1.119,"DATA,403213,237.800,1.119"
0.0568083,403263,237.75,1.069,"DATA,403263,237.750,1.069"
0.1809422,403313,237.8,1.119,"DATA,403313,237.800,1.119"
0.1819507,403363,237.676,0.994,"DATA,403363,237.676,0.994"
0.2069308,403413,237.802,1.12,"DATA,403413,237.802,1.120"
0.2569173,403463,237.694,1.012,"DATA,403463,237.694,1.012"
0.3077151,403513,237.53,0.849,"DATA,403513,237.530,0.849"
0.3567476,403563,237.758,1.077,"DATA,403563,237.758,1.077"
0.407767,403613,237.776,1.095,"DATA,403613,237.776,1.095"
0.4570319,403663,237.718,1.037,"DATA,403663,237.718,1.037"
0.5117493,403713,237.513,0.832,"DATA,403713,237.513,0.832"
0.5568318,403763,237.603,0.921,"DATA,403763,237.603,0.921"
0.6074134,403813,237.646,0.965,"DATA,403813,237.646,0.965"
0.6578148,403863,237.584,0.903,"DATA,403863,237.584,0.903"
0.7064906,403913,237.888,1.206,"DATA,403913,237.888,1.206"
0.7565754,403963,237.912,1.231,"DATA,403963,237.912,1.231"
0.8068498,404013,237.87,1.188,"DATA,404013,237.870,1.188"
0.857861,404063,237.985,1.304,"DATA,404063,237.985,1.304"
0.9068143,404113,237.899,1.218,"DATA,404113,237.899,1.218"
0.9575302,404163,238.057,1.376,"DATA,404163,238.057,1.376"
1.0077575,404213,237.964,-0.093,"DATA,404213,237.964,-0.093"
1.0620424,404263,237.899,-0.158,"DATA,404263,237.899,-0.158"
1.1064901,404313,237.803,-0.255,"DATA,404313,237.803,-0.255"
1.1569395,404363,237.924,-0.133,"DATA,404363,237.924,-0.133"
1.2078028,404413,237.825,-0.232,"DATA,404413,237.825,-0.232"
1.2574555,404463,237.842,-0.216,"DATA,404463,237.842,-0.216"
1.3088702,404513,237.771,-0.286,"DATA,404513,237.771,-0.286"
1.3569553,404563,237.957,-0.101,"DATA,404563,237.957,-0.101"
1.4079839,404613,237.658,-0.399,"DATA,404613,237.658,-0.399"
1.4573642,404663,237.662,-0.396,"DATA,404663,237.662,-0.396"
1.5074892,404713,237.644,-0.413,"DATA,404713,237.644,-0.413"
1.5568012,404763,237.566,-0.491,"DATA,404763,237.566,-0.491"
1.6120741,404813,237.511,-0.546,"DATA,404813,237.511,-0.546"
1.6573831,404863,237.537,-0.52,"DATA,404863,237.537,-0.520"
1.7075221,404913,237.632,-0.425,"DATA,404913,237.632,-0.425"
1.7581523,404963,237.681,-0.377,"DATA,404963,237.681,-0.377"
1.8075973,405013,237.651,-0.406,"DATA,405013,237.651,-0.406"
1.8573772,405063,237.436,-0.621,"DATA,405063,237.436,-0.621"
1.906946,405113,237.648,-0.41,"DATA,405113,237.648,-0.410"
1.95708,405163,237.832,-0.225,"DATA,405163,237.832,-0.225"
2.0076217,405213,238.077,0.019,"DATA,405213,238.077,0.019"
2.0580275,405263,237.795,-0.263,"DATA,405263,237.795,-0.263"
2.1066121,405313,237.85,-0.208,"DATA,405313,237.850,-0.208"
2.1615768,405363,237.957,-0.101,"DATA,405363,237.957,-0.101"
2.20659,405413,237.77,-0.287,"DATA,405413,237.770,-0.287"
2.2566217,405463,237.736,-0.322,"DATA,405463,237.736,-0.322"
2.3065634,405513,237.798,-0.259,"DATA,405513,237.798,-0.259"
2.3575785,405563,237.779,-0.278,"DATA,405563,237.779,-0.278"
2.4076292,405613,237.808,-0.25,"DATA,405613,237.808,-0.250"
2.456856,405663,237.745,-0.312,"DATA,405663,237.745,-0.312"
2.5075046,405713,237.755,-0.303,"DATA,405713,237.755,-0.303"
2.5585296,405763,237.548,-0.51,"DATA,405763,237.548,-0.510"
2.6070743,405813,237.415,-0.643,"DATA,405813,237.415,-0.643"
2.6577704,405863,237.499,-0.558,"DATA,405863,237.499,-0.558"
2.7105512,405913,237.359,-0.698,"DATA,405913,237.359,-0.698"
2.7576763,405963,237.296,-0.762,"DATA,405963,237.296,-0.762"
2.8237779,406013,237.263,-0.794,"DATA,406013,237.263,-0.794"
2.8564931,406063,237.231,-0.826,"DATA,406063,237.231,-0.826"
2.9075184,406113,237.269,-0.789,"DATA,406113,237.269,-0.789"
2.956526,406163,237.296,-0.762,"DATA,406163,237.296,-0.762"
3.0066634,406213,237.301,-0.756,"DATA,406213,237.301,-0.756"
3.0581133,406263,237.364,-0.693,"DATA,406263,237.364,-0.693"
3.1069657,406313,237.482,-0.576,"DATA,406313,237.482,-0.576"
3.1568303,406363,237.531,-0.526,"DATA,406363,237.531,-0.526"
3.2067941,406413,237.258,-0.799,"DATA,406413,237.258,-0.799"
3.2567201,406463,237.475,-0.583,"DATA,406463,237.475,-0.583"
3.3087395,406513,237.489,-0.569,"DATA,406513,237.489,-0.569"
3.3566519,406563,237.39,-0.668,"DATA,406563,237.390,-0.668"
3.4066253,406613,237.163,-0.895,"DATA,406613,237.163,-0.895"
3.4571305,406663,237.416,-0.642,"DATA,406663,237.416,-0.642"
3.5075363,406713,237.41,-0.647,"DATA,406713,237.410,-0.647"
3.5578782,406763,237.338,-0.719,"DATA,406763,237.338,-0.719"
3.6077525,406813,237.294,-0.763,"DATA,406813,237.294,-0.763"
3.6578723,406863,237.33,-0.728,"DATA,406863,237.330,-0.728"
3.7068974,406913,237.423,-0.635,"DATA,406913,237.423,-0.635"
3.7584035,406963,237.305,-0.752,"DATA,406963,237.305,-0.752"
3.8075242,407013,237.59,-0.467,"DATA,407013,237.590,-0.467"
3.8603492,407063,237.392,-0.665,"DATA,407063,237.392,-0.665"
3.9080924,407113,237.472,-0.585,"DATA,407113,237.472,-0.585"
3.9579538,407163,237.484,-0.573,"DATA,407163,237.484,-0.573"
4.0083997,407213,237.431,-0.626,"DATA,407213,237.431,-0.626"
4.0733276,407263,237.334,-0.723,"DATA,407263,237.334,-0.723"
4.1075097,407313,237.356,-0.702,"DATA,407313,237.356,-0.702"
4.1575832,407363,237.456,-0.601,"DATA,407363,237.456,-0.601"
4.2087696,407413,237.68,-0.377,"DATA,407413,237.680,-0.377"
4.2575141,407463,237.595,-0.463,"DATA,407463,237.595,-0.463"
4.3081945,407513,237.671,-0.386,"DATA,407513,237.671,-0.386"
4.3588601,407563,237.666,-0.391,"DATA,407563,237.666,-0.391"
4.41064,407613,237.687,-0.37,"DATA,407613,237.687,-0.370"
4.4639046,407663,237.605,-0.452,"DATA,407663,237.605,-0.452"
4.5082894,407713,237.757,-0.301,"DATA,407713,237.757,-0.301"
4.5587784,407763,237.65,-0.407,"DATA,407763,237.650,-0.407"
4.6236758,407813,237.777,-0.28,"DATA,407813,237.777,-0.280"
4.6578016,407863,237.797,-0.26,"DATA,407863,237.797,-0.260"
4.7075941,407913,237.778,-0.279,"DATA,407913,237.778,-0.279"
4.7581651,407963,237.633,-0.424,"DATA,407963,237.633,-0.424"
4.8087083,408013,237.696,-0.362,"DATA,408013,237.696,-0.362"
4.858796,408063,237.719,-0.338,"DATA,408063,237.719,-0.338"
4.9081451,408113,237.776,-0.281,"DATA,408113,237.776,-0.281"
4.9585088,408163,237.785,-0.272,"DATA,408163,237.785,-0.272"
5.0236764,408213,237.784,-0.273,"DATA,408213,237.784,-0.273"
5.0622645,408263,237.843,-0.214,"DATA,408263,237.843,-0.214"
5.1082206,408313,237.833,-0.224,"DATA,408313,237.833,-0.224"
5.173577,408363,238.034,-0.023,"DATA,408363,238.034,-0.023"
5.2081356,408413,237.83,-0.227,"DATA,408413,237.830,-0.227"
5.2733352,408463,237.726,-0.331,"DATA,408463,237.726,-0.331"
5.3271707,408513,237.576,-0.482,"DATA,408513,237.576,-0.482"
5.373317,408563,237.483,-0.574,"DATA,408563,237.483,-0.574"
5.4093073,408613,237.457,-0.6,"DATA,408613,237.457,-0.600"
5.4583345,408663,237.402,-0.656,"DATA,408663,237.402,-0.656"
5.5080393,408713,237.35,-0.707,"DATA,408713,237.350,-0.707"
5.5598754,408763,237.276,-0.782,"DATA,408763,237.276,-0.782"
5.6085202,408813,237.201,-0.856,"DATA,408813,237.201,-0.856"
5.6587598,408863,237.35,-0.708,"DATA,408863,237.350,-0.708"
5.7236618,408913,237.372,-0.685,"DATA,408913,237.372,-0.685"
5.7581255,408963,237.297,-0.76,"DATA,408963,237.297,-0.760"
5.8237627,409013,237.31,-0.748,"DATA,409013,237.310,-0.748"
5.8740822,409063,237.263,-0.795,"DATA,409063,237.263,-0.795"
5.9262209,409113,237.493,-0.564,"DATA,409113,237.493,-0.564"
5.9732279,409163,237.528,-0.53,"DATA,409163,237.528,-0.530"
6.0235202,409213,237.443,-0.614,"DATA,409213,237.443,-0.614"
6.0734727,409263,237.435,-0.623,"DATA,409263,237.435,-0.623"
6.1088491,409313,237.231,-0.826,"DATA,409313,237.231,-0.826"
6.17353,409363,237.413,-0.644,"DATA,409363,237.413,-0.644"
6.2238758,409413,237.427,-0.63,"DATA,409413,237.427,-0.630"
6.2591093,409463,237.39,-0.667,"DATA,409463,237.390,-0.667"
6.3241772,409513,237.341,-0.717,"DATA,409513,237.341,-0.717"
6.3736389,409563,237.313,-0.744,"DATA,409563,237.313,-0.744"
6.4234759,409613,237.17,-0.888,"DATA,409613,237.170,-0.888"
6.473376,409663,237.198,-0.859,"DATA,409663,237.198,-0.859"
6.5282437,409713,237.227,-0.83,"DATA,409713,237.227,-0.830"
6.5734245,409763,237.2,-0.857,"DATA,409763,237.200,-0.857"
6.6197105,409813,237.167,-0.89,"DATA,409813,237.167,-0.890"
