time_s,arduino_ms,rx_ohm,delta_r,raw_line
0.0004383,55013,236.687,0.267,"DATA,55013,236.687,0.267"
0.0529195,55063,236.469,0.05,"DATA,55063,236.469,0.050"
0.1637229,55113,236.165,-0.255,"DATA,55113,236.165,-0.255"
0.1650895,55163,236.34,-0.08,"DATA,55163,236.340,-0.080"
0.2074848,55213,236.345,-0.075,"DATA,55213,236.345,-0.075"
0.240556,55263,236.332,-0.088,"DATA,55263,236.332,-0.088"
0.2898797,55313,236.173,-0.247,"DATA,55313,236.173,-0.247"
0.3548735,55363,236.242,-0.178,"DATA,55363,236.242,-0.178"
0.3902745,55413,236.28,-0.14,"DATA,55413,236.280,-0.140"
0.4404581,55463,236.387,-0.033,"DATA,55463,236.387,-0.033"
0.5049844,55513,236.432,0.012,"DATA,55513,236.432,0.012"
0.5550407,55563,236.414,-0.006,"DATA,55563,236.414,-0.006"
0.5896385,55613,236.368,-0.052,"DATA,55613,236.368,-0.052"
0.6399445,55663,236.323,-0.097,"DATA,55663,236.323,-0.097"
0.7057797,55713,236.323,-0.097,"DATA,55713,236.323,-0.097"
0.7547409,55763,236.314,-0.106,"DATA,55763,236.314,-0.106"
0.7904214,55813,236.269,-0.151,"DATA,55813,236.269,-0.151"
0.8546778,55863,236.224,-0.195,"DATA,55863,236.224,-0.195"
0.9047507,55913,236.213,-0.207,"DATA,55913,236.213,-0.207"
0.9400948,55963,236.156,-0.264,"DATA,55963,236.156,-0.264"
1.0052112,56013,236.173,-0.247,"DATA,56013,236.173,-0.247"
1.0422329,56063,236.152,-0.267,"DATA,56063,236.152,-0.267"
1.1059848,56113,236.113,-0.307,"DATA,56113,236.113,-0.307"
1.1402169,56163,236.304,-0.116,"DATA,56163,236.304,-0.116"
1.2048365,56213,236.243,-0.177,"DATA,56213,236.243,-0.177"
1.2574652,56263,236.299,-0.121,"DATA,56263,236.299,-0.121"
1.2902854,56313,236.353,-0.067,"DATA,56313,236.353,-0.067"
1.34162,56363,236.305,-0.115,"DATA,56363,236.305,-0.115"
1.3910658,56413,236.178,-0.241,"DATA,56413,236.178,-0.241"
1.4547924,56463,235.999,-0.421,"DATA,56463,235.999,-0.421"
1.5047919,56513,236.033,-0.386,"DATA,56513,236.033,-0.386"
1.5558273,56563,236.042,-0.378,"DATA,56563,236.042,-0.378"
1.6050706,56613,236.047,-0.373,"DATA,56613,236.047,-0.373"
1.6549989,56663,235.959,-0.461,"DATA,56663,235.959,-0.461"
1.7049545,56713,236.256,-0.164,"DATA,56713,236.256,-0.164"
1.7562778,56763,236.223,-0.197,"DATA,56763,236.223,-0.197"
1.7911853,56813,236.213,-0.207,"DATA,56813,236.213,-0.207"
1.8548401,56863,236.174,-0.246,"DATA,56863,236.174,-0.246"
1.9048608,56913,236.23,0.056,"DATA,56913,236.230,0.056"
1.9546535,56963,236.113,-0.061,"DATA,56963,236.113,-0.061"
2.0051376,57013,236.119,-0.056,"DATA,57013,236.119,-0.056"
2.0416653,57063,236.037,-0.137,"DATA,57063,236.037,-0.137"
2.1058353,57113,236.061,-0.113,"DATA,57113,236.061,-0.113"
2.1550187,57163,236.044,-0.13,"DATA,57163,236.044,-0.130"
2.2046888,57213,236.019,-0.155,"DATA,57213,236.019,-0.155"
2.2568366,57263,236.003,-0.171,"DATA,57263,236.003,-0.171"
2.3047122,57313,235.974,-0.2,"DATA,57313,235.974,-0.200"
2.3549291,57363,235.971,-0.203,"DATA,57363,235.971,-0.203"
2.405891,57413,236,-0.175,"DATA,57413,236.000,-0.175"
2.4557943,57463,235.954,-0.221,"DATA,57463,235.954,-0.221"
2.491794,57513,236.152,-0.022,"DATA,57513,236.152,-0.022"
2.5550453,57563,236.038,-0.136,"DATA,57563,236.038,-0.136"
2.605823,57613,236.056,-0.118,"DATA,57613,236.056,-0.118"
2.6488422,57663,236.02,-0.154,"DATA,57663,236.020,-0.154"
2.7052808,57713,236.007,-0.167,"DATA,57713,236.007,-0.167"
2.7550501,57763,236.02,-0.154,"DATA,57763,236.020,-0.154"
2.8047025,57813,235.888,-0.286,"DATA,57813,235.888,-0.286"
2.8587025,57863,236.026,-0.148,"DATA,57863,236.026,-0.148"
2.9047922,57913,236.013,-0.162,"DATA,57913,236.013,-0.162"
2.9558415,57963,235.963,-0.211,"DATA,57963,235.963,-0.211"
3.0058816,58013,235.795,-0.379,"DATA,58013,235.795,-0.379"
3.0553287,58063,235.964,-0.21,"DATA,58063,235.964,-0.210"
3.1059065,58113,235.973,-0.201,"DATA,58113,235.973,-0.201"
3.1557784,58163,236.026,-0.148,"DATA,58163,236.026,-0.148"
3.2052391,58213,236.01,-0.164,"DATA,58213,236.010,-0.164"
3.2551465,58263,236.009,-0.165,"DATA,58263,236.009,-0.165"
3.3050632,58313,236.1,-0.074,"DATA,58313,236.100,-0.074"
3.3552651,58363,236.472,0.298,"DATA,58363,236.472,0.298"
3.4073566,58413,236.337,0.163,"DATA,58413,236.337,0.163"
3.454715,58463,236.333,0.159,"DATA,58463,236.333,0.159"
3.5047422,58513,236.228,0.054,"DATA,58513,236.228,0.054"
3.5546725,58563,236.224,0.05,"DATA,58563,236.224,0.050"
3.6057771,58613,236.181,0.007,"DATA,58613,236.181,0.007"
3.6557191,58663,236.354,0.18,"DATA,58663,236.354,0.180"
3.7056841,58713,236.201,0.027,"DATA,58713,236.201,0.027"
3.7556855,58763,236.394,0.22,"DATA,58763,236.394,0.220"
3.7935843,58813,236.172,-0.003,"DATA,58813,236.172,-0.003"
3.856021,58863,236.241,0.067,"DATA,58863,236.241,0.067"
3.9055499,58913,236.308,0.134,"DATA,58913,236.308,0.134"
3.9564057,58963,236.251,0.077,"DATA,58963,236.251,0.077"
4.0096446,59013,236.297,0.122,"DATA,59013,236.297,0.122"
4.0550987,59063,236.572,0.398,"DATA,59063,236.572,0.398"
4.1067651,59113,236.65,0.476,"DATA,59113,236.650,0.476"
4.1560187,59163,236.919,0.745,"DATA,59163,236.919,0.745"
4.2050156,59213,236.895,0.721,"DATA,59213,236.895,0.721"
4.2560173,59263,236.874,0.7,"DATA,59263,236.874,0.700"
4.3060761,59313,236.918,0.743,"DATA,59313,236.918,0.743"
4.3557749,59363,236.698,0.524,"DATA,59363,236.698,0.524"
4.3973018,59413,237.061,0.887,"DATA,59413,237.061,0.887"
4.4549424,59463,237.076,0.902,"DATA,59463,237.076,0.902"
4.5065542,59513,237.179,1.005,"DATA,59513,237.179,1.005"
4.555107,59563,236.881,0.707,"DATA,59563,236.881,0.707"
4.6047397,59613,236.929,0.755,"DATA,59613,236.929,0.755"
4.6567161,59663,236.819,0.645,"DATA,59663,236.819,0.645"
4.7057897,59713,236.776,0.602,"DATA,59713,236.776,0.602"
4.756103,59763,236.735,0.561,"DATA,59763,236.735,0.561"
4.8059919,59813,236.905,0.731,"DATA,59813,236.905,0.731"
4.8553461,59863,236.856,0.682,"DATA,59863,236.856,0.682"
4.9059734,59913,236.897,0.723,"DATA,59913,236.897,0.723"
4.9550982,59963,236.817,0.643,"DATA,59963,236.817,0.643"
5.0111897,60013,236.829,0.655,"DATA,60013,236.829,0.655"
5.0558489,60063,236.843,0.669,"DATA,60063,236.843,0.669"
5.105781,60113,236.879,0.705,"DATA,60113,236.879,0.705"
5.1551372,60163,236.931,0.756,"DATA,60163,236.931,0.756"
5.2059389,60213,236.933,0.759,"DATA,60213,236.933,0.759"
5.2551106,60263,236.906,0.732,"DATA,60263,236.906,0.732"
5.3060206,60313,236.871,0.697,"DATA,60313,236.871,0.697"
5.3550263,60363,236.892,0.717,"DATA,60363,236.892,0.717"
5.4055085,60413,236.837,0.663,"DATA,60413,236.837,0.663"
5.4548728,60463,236.782,0.608,"DATA,60463,236.782,0.608"
5.5047386,60513,236.808,0.634,"DATA,60513,236.808,0.634"
5.5593791,60563,236.768,0.594,"DATA,60563,236.768,0.594"
5.6051628,60613,236.87,0.696,"DATA,60613,236.870,0.696"
5.655799,60663,237.055,0.881,"DATA,60663,237.055,0.881"
5.7049978,60713,236.766,0.592,"DATA,60713,236.766,0.592"
5.7548598,60763,236.985,0.81,"DATA,60763,236.985,0.810"
5.8049261,60813,237.258,1.084,"DATA,60813,237.258,1.084"
5.8554284,60863,237.306,1.132,"DATA,60863,237.306,1.132"
5.9052523,60913,237.61,1.435,"DATA,60913,237.610,1.435"
5.955546,60963,237.46,1.286,"DATA,60963,237.460,1.286"
6.0059486,61013,237.402,1.228,"DATA,61013,237.402,1.228"
6.0546727,61063,237.391,1.217,"DATA,61063,237.391,1.217"
6.1089597,61113,237.347,1.173,"DATA,61113,237.347,1.173"
6.1558592,61163,237.143,0.968,"DATA,61163,237.143,0.968"
6.2049881,61213,237.175,1.001,"DATA,61213,237.175,1.001"
6.2558426,61263,237.106,0.932,"DATA,61263,237.106,0.932"
6.3051203,61313,237.104,0.929,"DATA,61313,237.104,0.929"
6.3551878,61363,237.228,1.054,"DATA,61363,237.228,1.054"
6.4051715,61413,237.181,1.007,"DATA,61413,237.181,1.007"
6.4553222,61463,237.034,0.86,"DATA,61463,237.034,0.860"
6.5051881,61513,236.946,0.771,"DATA,61513,236.946,0.771"
6.5482782,61563,236.988,0.814,"DATA,61563,236.988,0.814"
6.6062834,61613,237.07,0.896,"DATA,61613,237.070,0.896"
6.6568764,61663,237.058,0.883,"DATA,61663,237.058,0.883"
6.70479,61713,237.051,0.876,"DATA,61713,237.051,0.876"
6.7550673,61763,237.306,1.132,"DATA,61763,237.306,1.132"
6.8057744,61813,237.48,1.306,"DATA,61813,237.480,1.306"
6.8558799,61863,238.017,1.843,"DATA,61863,238.017,1.843"
6.9052278,61913,238.062,1.888,"DATA,61913,238.062,1.888"
6.9557161,61963,238.464,2.289,"DATA,61963,238.464,2.289"
7.0059762,62013,238.188,2.014,"DATA,62013,238.188,2.014"
7.0553178,62063,237.84,1.666,"DATA,62063,237.840,1.666"
7.1049614,62113,237.519,1.345,"DATA,62113,237.519,1.345"
7.155135,62163,237.422,1.248,"DATA,62163,237.422,1.248"
7.2078601,62213,237.39,1.215,"DATA,62213,237.390,1.215"
7.2558965,62263,237.168,0.994,"DATA,62263,237.168,0.994"
7.3052562,62313,237.293,1.119,"DATA,62313,237.293,1.119"
7.3560471,62363,237.316,1.141,"DATA,62363,237.316,1.141"
7.4058483,62413,237.261,1.087,"DATA,62413,237.261,1.087"
7.4549092,62463,237.223,1.049,"DATA,62463,237.223,1.049"
7.5053768,62513,237.236,1.062,"DATA,62513,237.236,1.062"
7.5558427,62563,237.278,1.104,"DATA,62563,237.278,1.104"
