time_s,arduino_ms,rx_ohm,delta_r,raw_line
0.0004462,150513,233.323,1.023,"DATA,150513,233.323,1.023"
0.0197081,150563,233.31,1.01,"DATA,150563,233.310,1.010"
0.0647203,150613,233.252,0.952,"DATA,150613,233.252,0.952"
0.2761075,150663,233.32,1.021,"DATA,150663,233.320,1.021"
0.2768878,150713,233.287,0.988,"DATA,150713,233.287,0.988"
0.2774162,150763,233.254,0.954,"DATA,150763,233.254,0.954"
0.2778613,150813,233.284,0.984,"DATA,150813,233.284,0.984"
0.3166361,150863,233.278,0.978,"DATA,150863,233.278,0.978"
0.3662893,150913,233.321,1.021,"DATA,150913,233.321,1.021"
0.4151427,150963,233.355,1.055,"DATA,150963,233.355,1.055"
0.4649063,151013,233.324,1.024,"DATA,151013,233.324,1.024"
0.5150179,151063,233.401,1.101,"DATA,151063,233.401,1.101"
0.5647491,151113,233.387,1.087,"DATA,151113,233.387,1.087"
0.6131856,151163,233.398,1.098,"DATA,151163,233.398,1.098"
0.6655473,151213,233.328,1.028,"DATA,151213,233.328,1.028"
0.7147277,151263,233.337,1.037,"DATA,151263,233.337,1.037"
0.7651728,151313,233.31,1.01,"DATA,151313,233.310,1.010"
0.8149155,151363,233.295,0.995,"DATA,151363,233.295,0.995"
0.8645461,151413,233.144,0.844,"DATA,151413,233.144,0.844"
0.9168149,151463,233.35,1.05,"DATA,151463,233.350,1.050"
0.9578121,151513,233.318,1.018,"DATA,151513,233.318,1.018"
1.0148323,151563,233.3,1.001,"DATA,151563,233.300,1.001"
1.065661,151613,233.18,0.88,"DATA,151613,233.180,0.880"
1.1156506,151663,233.306,1.007,"DATA,151663,233.306,1.007"
1.1691695,151713,233.297,0.997,"DATA,151713,233.297,0.997"
1.2154432,151763,233.329,1.029,"DATA,151763,233.329,1.029"
1.2647463,151813,233.289,0.989,"DATA,151813,233.289,0.989"
1.3145789,151863,233.305,1.005,"DATA,151863,233.305,1.005"
1.3657123,151913,233.29,0.99,"DATA,151913,233.290,0.990"
1.414799,151963,233.266,0.966,"DATA,151963,233.266,0.966"
1.4648224,152013,233.277,0.977,"DATA,152013,233.277,0.977"
1.5156805,152063,233.281,0.982,"DATA,152063,233.281,0.982"
1.56486,152113,233.248,0.948,"DATA,152113,233.248,0.948"
1.6157996,152163,233.268,0.968,"DATA,152163,233.268,0.968"
1.664556,152213,233.285,0.985,"DATA,152213,233.285,0.985"
1.7207567,152263,233.276,0.976,"DATA,152263,233.276,0.976"
1.765581,152313,233.251,0.951,"DATA,152313,233.251,0.951"
1.8146137,152363,233.297,0.997,"DATA,152363,233.297,0.997"
1.8666555,152413,233.299,0.999,"DATA,152413,233.299,0.999"
1.9150285,152463,233.254,0.955,"DATA,152463,233.254,0.955"
1.964787,152513,233.262,0.963,"DATA,152513,233.262,0.963"
2.0157502,152563,233.271,0.971,"DATA,152563,233.271,0.971"
2.0650839,152613,233.273,0.973,"DATA,152613,233.273,0.973"
2.1149315,152663,233.249,0.949,"DATA,152663,233.249,0.949"
2.1645638,152713,233.268,0.969,"DATA,152713,233.268,0.969"
2.2163262,152763,233.173,0.873,"DATA,152763,233.173,0.873"
2.2646337,152813,233.278,0.978,"DATA,152813,233.278,0.978"
2.3146132,152863,233.286,0.986,"DATA,152863,233.286,0.986"
2.3645848,152913,233.277,0.977,"DATA,152913,233.277,0.977"
2.414742,152963,233.142,0.842,"DATA,152963,233.142,0.842"
2.4655063,153013,233.286,0.987,"DATA,153013,233.286,0.987"
2.5149426,153063,233.285,-0.002,"DATA,153063,233.285,-0.002"
2.5575357,153113,233.257,-0.029,"DATA,153113,233.257,-0.029"
2.6070444,153163,233.198,-0.088,"DATA,153163,233.198,-0.088"
2.6657342,153213,233.254,-0.032,"DATA,153213,233.254,-0.032"
2.7146281,153263,233.228,-0.058,"DATA,153263,233.228,-0.058"
2.77254,153313,233.268,-0.018,"DATA,153313,233.268,-0.018"
2.8156684,153363,233.249,-0.037,"DATA,153363,233.249,-0.037"
2.8652611,153413,233.244,-0.042,"DATA,153413,233.244,-0.042"
2.914704,153463,233.287,0.001,"DATA,153463,233.287,0.001"
2.9646798,153513,233.257,-0.029,"DATA,153513,233.257,-0.029"
3.0152244,153563,233.262,-0.024,"DATA,153563,233.262,-0.024"
3.0650153,153613,233.265,-0.022,"DATA,153613,233.265,-0.022"
3.1149694,153663,233.266,-0.021,"DATA,153663,233.266,-0.021"
3.1647086,153713,233.269,-0.017,"DATA,153713,233.269,-0.017"
3.2147727,153763,233.23,-0.056,"DATA,153763,233.230,-0.056"
3.2677961,153813,233.299,0.013,"DATA,153813,233.299,0.013"
3.3145791,153863,233.275,-0.011,"DATA,153863,233.275,-0.011"
3.3666377,153913,233.226,-0.061,"DATA,153913,233.226,-0.061"
3.4155508,153963,233.229,-0.057,"DATA,153963,233.229,-0.057"
3.464716,154013,233.171,-0.116,"DATA,154013,233.171,-0.116"
3.5143414,154063,233.181,-0.106,"DATA,154063,233.181,-0.106"
3.5649996,154113,233.089,-0.197,"DATA,154113,233.089,-0.197"
3.6150335,154163,233.088,-0.198,"DATA,154163,233.088,-0.198"
3.6650739,154213,233.097,-0.19,"DATA,154213,233.097,-0.190"
3.7149089,154263,233.108,-0.178,"DATA,154263,233.108,-0.178"
3.7648988,154313,232.937,-0.35,"DATA,154313,232.937,-0.350"
3.8218831,154363,233.099,-0.187,"DATA,154363,233.099,-0.187"
3.8642092,154413,233.091,-0.196,"DATA,154413,233.091,-0.196"
3.9146688,154463,233.083,-0.203,"DATA,154463,233.083,-0.203"
3.9648735,154513,233.035,-0.251,"DATA,154513,233.035,-0.251"
4.0157979,154563,233.057,-0.229,"DATA,154563,233.057,-0.229"
