Format Version,1.23,Take Name,C2_D_2,Take Notes,,Capture Frame Rate,200.000000,Export Frame Rate,200.000000,Capture Start Time,2026-07-07 03.40.07.605 PM,Capture Start Frame,546055,Total Frames in Take,5277,Total Exported Frames,5277,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1246,Unlabeled 1246,Unlabeled 1246,Unlabeled 1247,Unlabeled 1247,Unlabeled 1247,Unlabeled 1248,Unlabeled 1248,Unlabeled 1248,Unlabeled 1249,Unlabeled 1249,Unlabeled 1249,Unlabeled 1250,Unlabeled 1250,Unlabeled 1250,Unlabeled 1251,Unlabeled 1251,Unlabeled 1251,Unlabeled 1252,Unlabeled 1252,Unlabeled 1252,Unlabeled 1253,Unlabeled 1253,Unlabeled 1253,Unlabeled 1254,Unlabeled 1254,Unlabeled 1254,Unlabeled 1255,Unlabeled 1255,Unlabeled 1255,Unlabeled 1256,Unlabeled 1256,Unlabeled 1256,Unlabeled 1257,Unlabeled 1257,Unlabeled 1257,Unlabeled 1258,Unlabeled 1258,Unlabeled 1258,Unlabeled 1259,Unlabeled 1259,Unlabeled 1259,Unlabeled 1260,Unlabeled 1260,Unlabeled 1260
,ID,"E76BD1704B67A0B11F1","E76BD1704B67A0B11F1","E76BD1704B67A0B11F1","E7ABD1704B67A0B11F1","E7ABD1704B67A0B11F1","E7ABD1704B67A0B11F1","E7CBD1704B67A0B11F1","E7CBD1704B67A0B11F1","E7CBD1704B67A0B11F1","E7FBD1704B67A0B11F1","E7FBD1704B67A0B11F1","E7FBD1704B67A0B11F1","E85BD1704B67A0B11F1","E85BD1704B67A0B11F1","E85BD1704B67A0B11F1","EAEBD1704B67A0B11F1","EAEBD1704B67A0B11F1","EAEBD1704B67A0B11F1","F31BD1704B67A0B11F1","F31BD1704B67A0B11F1","F31BD1704B67A0B11F1","F33BD1704B67A0B11F1","F33BD1704B67A0B11F1","F33BD1704B67A0B11F1","F3ABD1704B67A0B11F1","F3ABD1704B67A0B11F1","F3ABD1704B67A0B11F1","F3EBD1704B67A0B11F1","F3EBD1704B67A0B11F1","F3EBD1704B67A0B11F1","F3FBD1704B67A0B11F1","F3FBD1704B67A0B11F1","F3FBD1704B67A0B11F1","F40BD1704B67A0B11F1","F40BD1704B67A0B11F1","F40BD1704B67A0B11F1","F41BD1704B67A0B11F1","F41BD1704B67A0B11F1","F41BD1704B67A0B11F1","F42BD1704B67A0B11F1","F42BD1704B67A0B11F1","F42BD1704B67A0B11F1","F45BD1704B67A0B11F1","F45BD1704B67A0B11F1","F45BD1704B67A0B11F1"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,256.762878,257.354340,85.227364,323.191254,255.838577,86.863495,313.282806,207.989944,85.670067,290.622040,257.784576,85.833984,327.953064,207.876541,85.696976,267.315735,209.068741,85.709236,251.802750,210.266602,85.469627,266.256500,169.832611,84.845856,314.344971,169.859131,85.103752,,,,,,,,,,,,,,,,,,
1,0.005000,256.711700,257.434875,85.184784,323.244507,255.707733,86.807243,313.337616,208.048294,85.637184,290.620636,257.784027,85.834190,327.947723,207.863708,85.693443,267.316833,209.070328,85.712967,251.798782,210.257492,85.474899,266.356201,169.789948,84.755699,314.287109,169.849060,84.961006,,,,,,,,,,,,,,,,,,
2,0.010000,256.764313,257.355255,85.227051,323.251282,255.707916,86.798859,313.276184,207.990387,85.667824,290.620819,257.785828,85.832588,327.936157,207.878571,85.692505,267.368256,208.788788,85.616119,251.835251,210.202377,85.497421,266.360535,169.774460,84.738220,314.285248,169.831879,84.916206,,,,,,,,,,,,,,,,,,
3,0.015000,256.710480,257.433563,85.182877,323.248413,255.706131,86.804535,313.335480,208.040222,85.631203,290.621277,257.790131,85.828140,327.945953,207.857620,85.686211,267.329376,209.050217,85.690262,251.800751,210.261765,85.474754,266.353302,169.775009,84.741997,314.349976,169.854324,85.085709,,,,,,,,,,,,,,,,,,
4,0.020000,256.708832,257.435150,85.165581,323.199371,255.823288,86.859085,313.340576,208.060852,85.634476,290.622375,257.785431,85.832077,327.945984,207.861450,85.690300,267.268921,209.086899,85.765747,251.801346,210.264923,85.477539,266.249786,169.840988,84.853584,314.359222,169.849197,85.099556,,,,,,,,,,,,,,,,,,
5,0.025000,256.708130,257.437653,85.166733,323.235901,255.717606,86.808266,313.378235,207.841537,85.538208,290.621552,257.784698,85.836014,327.930511,207.874207,85.694527,267.301453,209.085892,85.723999,251.803604,210.272232,85.476555,266.354858,169.795044,84.758141,314.355530,169.853165,85.099808,,,,,,,,,,,,,,,,,,
