Format Version,1.23,Take Name,C1_F_5,Take Notes,,Capture Frame Rate,200.000000,Export Frame Rate,200.000000,Capture Start Time,2026-07-07 01.59.19.835 PM,Capture Start Frame,455549,Total Frames in Take,9592,Total Exported Frames,9592,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1073,Unlabeled 1073,Unlabeled 1073,Unlabeled 1074,Unlabeled 1074,Unlabeled 1074,Unlabeled 1075,Unlabeled 1075,Unlabeled 1075,Unlabeled 1076,Unlabeled 1076,Unlabeled 1076,Unlabeled 1077,Unlabeled 1077,Unlabeled 1077,Unlabeled 1078,Unlabeled 1078,Unlabeled 1078,Unlabeled 1079,Unlabeled 1079,Unlabeled 1079,Unlabeled 1080,Unlabeled 1080,Unlabeled 1080,Unlabeled 1081,Unlabeled 1081,Unlabeled 1081,Unlabeled 1082,Unlabeled 1082,Unlabeled 1082,Unlabeled 1083,Unlabeled 1083,Unlabeled 1083,Unlabeled 1084,Unlabeled 1084,Unlabeled 1084,Unlabeled 1085,Unlabeled 1085,Unlabeled 1085,Unlabeled 1086,Unlabeled 1086,Unlabeled 1086,Unlabeled 1087,Unlabeled 1087,Unlabeled 1087
,ID,"9618C705CC779FE11F1","9618C705CC779FE11F1","9618C705CC779FE11F1","EDD8C705CC779FE11F1","EDD8C705CC779FE11F1","EDD8C705CC779FE11F1","EF68C705CC779FE11F1","EF68C705CC779FE11F1","EF68C705CC779FE11F1","11398C705CC779FE11F1","11398C705CC779FE11F1","11398C705CC779FE11F1","11438C705CC779FE11F1","11438C705CC779FE11F1","11438C705CC779FE11F1","11838C705CC779FE11F1","11838C705CC779FE11F1","11838C705CC779FE11F1","11868C705CC779FE11F1","11868C705CC779FE11F1","11868C705CC779FE11F1","12838C705CC779FE11F1","12838C705CC779FE11F1","12838C705CC779FE11F1","12848C705CC779FE11F1","12848C705CC779FE11F1","12848C705CC779FE11F1","129B8C705CC779FE11F1","129B8C705CC779FE11F1","129B8C705CC779FE11F1","129C8C705CC779FE11F1","129C8C705CC779FE11F1","129C8C705CC779FE11F1","129D8C705CC779FE11F1","129D8C705CC779FE11F1","129D8C705CC779FE11F1","129E8C705CC779FE11F1","129E8C705CC779FE11F1","129E8C705CC779FE11F1","129F8C705CC779FE11F1","129F8C705CC779FE11F1","129F8C705CC779FE11F1","12A28C705CC779FE11F1","12A28C705CC779FE11F1","12A28C705CC779FE11F1"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,332.544159,174.477631,85.804169,272.244141,269.867004,85.622353,267.073761,221.600235,85.331993,329.417206,221.293762,86.169357,305.356964,271.306091,86.429794,338.385406,271.463928,87.262871,345.656677,223.330078,87.213921,282.680786,220.587524,86.200394,282.063293,172.904404,85.165421,1312.015869,-693.546814,-328.442505,,,,,,,,,,,,,,,
1,0.005000,332.539062,174.468369,85.803223,272.104187,269.936035,85.603462,267.079987,221.597504,85.322281,329.421295,221.279114,86.160080,305.419861,271.217834,86.339081,338.330414,271.536407,87.278740,345.654083,223.331024,87.206978,282.674469,220.584671,86.204659,282.061981,172.903015,85.162338,1312.045044,-693.584412,-328.465912,,,,,,,,,,,,,,,
2,0.010000,332.542786,174.464096,85.799179,272.107849,269.928864,85.592049,267.058502,221.602493,85.333954,329.418640,221.282181,86.157867,305.429382,271.195374,86.309540,338.327393,271.533173,87.263000,345.653839,223.330383,87.210281,282.669098,220.592392,86.203613,282.068695,172.904373,85.160759,1312.037842,-693.561890,-328.462708,,,,,,,,,,,,,,,
3,0.015000,332.539673,174.478210,85.803665,272.105286,269.939026,85.597092,267.065002,221.598145,85.327866,329.419067,221.281174,86.159569,305.422699,271.202057,86.320503,338.325470,271.528778,87.267967,345.658905,223.336090,87.205780,282.674011,220.597763,86.196404,282.064758,172.897293,85.163231,1312.042480,-693.572083,-328.485962,,,,,,,,,,,,,,,
4,0.020000,332.543915,174.471359,85.802399,272.107788,269.935699,85.596832,267.080139,221.591797,85.321236,329.419647,221.284058,86.165009,305.303986,271.237793,86.435295,338.386841,271.462219,87.247147,345.654602,223.333511,87.211472,282.675690,220.595047,86.201363,282.058319,172.909348,85.169525,1312.056152,-693.617004,-328.479706,,,,,,,,,,,,,,,
5,0.025000,332.534668,174.471863,85.797737,272.104797,269.939026,85.600769,267.081909,221.593582,85.319679,329.420929,221.284256,86.167465,305.418793,271.221741,86.341965,338.330750,271.534698,87.281746,345.656555,223.331482,87.211601,282.672028,220.600571,86.199982,282.058411,172.910263,85.170403,1312.064453,-693.604980,-328.452515,,,,,,,,,,,,,,,
6,0.030000,332.542419,174.467331,85.801727,272.104187,269.937317,85.599129,267.083038,221.593399,85.317436,329.415558,221.282043,86.164337,305.356110,271.300110,86.412521,338.324890,271.534180,87.272423,345.656586,223.335632,87.209015,282.672394,220.598145,86.197601,282.054626,172.902863,85.166985,1312.054932,-693.595398,-328.438782,,,,,,,,,,,,,,,
7,0.035000,332.547119,174.481461,85.804565,272.101746,269.941315,85.600807,267.086548,221.584503,85.319511,329.418091,221.280777,86.162750,305.302582,271.244690,86.457191,338.321686,271.535919,87.274231,345.658203,223.326691,87.210495,282.672302,220.593811,86.199417,282.057281,172.909470,85.168983,1312.070557,-693.621033,-328.485474,,,,,,,,,,,,,,,
8,0.040000,332.534912,174.476852,85.812218,272.096497,269.940887,85.598785,267.078796,221.590897,85.320625,329.416840,221.280960,86.163307,305.410248,271.215271,86.338371,338.292969,271.565765,87.313332,345.652863,223.336365,87.212677,282.674774,220.589951,86.201950,282.060364,172.908371,85.168877,1312.066772,-693.646973,-328.515930,,,,,,,,,,,,,,,
9,0.045000,332.540253,174.473373,85.808014,272.105530,269.937866,85.601822,267.080719,221.589539,85.323975,329.438599,221.259354,86.137527,305.363434,271.286316,86.406868,338.325867,271.556763,87.343315,345.649078,223.338196,87.218361,282.673676,220.591904,86.202316,282.060150,172.905777,85.168007,1312.060181,-693.609863,-328.492279,,,,,,,,,,,,,,,
10,0.050000,332.544067,174.471573,85.802475,272.110657,269.930206,85.598602,267.080841,221.595261,85.325600,329.423279,221.279297,86.163612,305.422241,271.226593,86.348572,338.332947,271.529999,87.291122,345.652771,223.335342,87.211716,282.674194,220.593964,86.197617,282.056976,172.902771,85.166061,1312.081177,-693.642517,-328.513000,,,,,,,,,,,,,,,
11,0.055000,332.545013,174.481979,85.804794,272.102295,269.942627,85.604073,267.078766,221.584274,85.319847,329.415741,221.283279,86.166290,305.363220,271.293854,86.411644,338.322693,271.536316,87.271004,345.653503,223.332214,87.214088,282.669708,220.593582,86.203880,282.061584,172.906555,85.167946,1312.079590,-693.631714,-328.500427,,,,,,,,,,,,,,,
12,0.060000,332.540192,174.478531,85.802391,272.108063,269.937256,85.597260,267.082336,221.598953,85.321960,329.414673,221.280045,86.161743,305.364685,271.304626,86.429474,338.382172,271.462555,87.238251,345.650299,223.335159,87.213745,282.676697,220.593018,86.199402,282.062775,172.906128,85.167465,1312.049561,-693.588074,-328.484009,,,,,,,,,,,,,,,
13,0.065000,332.542938,174.463699,85.800957,272.106812,269.935120,85.594429,267.089691,221.587692,85.318115,329.421143,221.288101,86.164215,305.411652,271.222107,86.349556,338.360321,271.521667,87.294357,345.655365,223.334274,87.211166,282.669586,220.594223,86.203407,282.062195,172.917969,85.176918,1312.056519,-693.607300,-328.507202,,,,,,,,,,,,,,,
14,0.070000,332.544678,174.476913,85.802605,272.103088,269.941864,85.601303,267.085144,221.591415,85.322586,329.418518,221.287598,86.162361,305.366486,271.288361,86.407188,338.296692,271.566284,87.330215,345.652649,223.336578,87.213760,282.674988,220.591263,86.200821,282.064056,172.912659,85.171188,1312.048706,-693.591614,-328.501556,,,,,,,,,,,,,,,
15,0.075000,332.547913,174.482056,85.807343,272.103577,269.939697,85.604309,267.081665,221.593399,85.327919,329.417847,221.284073,86.165405,305.362091,271.306610,86.427849,338.326904,271.533539,87.282089,345.655212,223.330566,87.211601,282.677490,220.598770,86.208946,282.059357,172.913773,85.168533,1312.041260,-693.572449,-328.488403,,,,,,,,,,,,,,,
16,0.080000,332.537933,174.486679,85.803642,272.109528,269.942017,85.599396,267.082214,221.593338,85.322144,329.416260,221.287033,86.169060,305.368011,271.314972,86.424042,338.297516,271.685547,87.353371,345.661255,223.333740,87.210609,282.676422,220.596146,86.198143,282.061340,172.908646,85.168663,1312.011230,-693.562134,-328.467834,,,,,,,,,,,,,,,
