Format Version,1.23,Take Name,C22_F_5,Take Notes,,Capture Frame Rate,200.000000,Export Frame Rate,200.000000,Capture Start Time,2026-07-09 10.06.40.803 AM,Capture Start Frame,120210,Total Frames in Take,7364,Total Exported Frames,7364,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1052,Unlabeled 1052,Unlabeled 1052,Unlabeled 1053,Unlabeled 1053,Unlabeled 1053,Unlabeled 1054,Unlabeled 1054,Unlabeled 1054,Unlabeled 1055,Unlabeled 1055,Unlabeled 1055,Unlabeled 1056,Unlabeled 1056,Unlabeled 1056,Unlabeled 1057,Unlabeled 1057,Unlabeled 1057,Unlabeled 1058,Unlabeled 1058,Unlabeled 1058,Unlabeled 1059,Unlabeled 1059,Unlabeled 1059,Unlabeled 1060,Unlabeled 1060,Unlabeled 1060,Unlabeled 1061,Unlabeled 1061,Unlabeled 1061,Unlabeled 1062,Unlabeled 1062,Unlabeled 1062,Unlabeled 1063,Unlabeled 1063,Unlabeled 1063,Unlabeled 1064,Unlabeled 1064,Unlabeled 1064,Unlabeled 1065,Unlabeled 1065,Unlabeled 1065,Unlabeled 1066,Unlabeled 1066,Unlabeled 1066,Unlabeled 1067,Unlabeled 1067,Unlabeled 1067,Unlabeled 1068,Unlabeled 1068,Unlabeled 1068,Unlabeled 1069,Unlabeled 1069,Unlabeled 1069,Unlabeled 1070,Unlabeled 1070,Unlabeled 1070,Unlabeled 1071,Unlabeled 1071,Unlabeled 1071,Unlabeled 1072,Unlabeled 1072,Unlabeled 1072,Unlabeled 1073,Unlabeled 1073,Unlabeled 1073
,ID,"5180B1AAA7B7411F1","5180B1AAA7B7411F1","5180B1AAA7B7411F1","4D180B1AAA7B7411F1","4D180B1AAA7B7411F1","4D180B1AAA7B7411F1","90180B1AAA7B7411F1","90180B1AAA7B7411F1","90180B1AAA7B7411F1","91180B1AAA7B7411F1","91180B1AAA7B7411F1","91180B1AAA7B7411F1","95180B1AAA7B7411F1","95180B1AAA7B7411F1","95180B1AAA7B7411F1","97180B1AAA7B7411F1","97180B1AAA7B7411F1","97180B1AAA7B7411F1","99180B1AAA7B7411F1","99180B1AAA7B7411F1","99180B1AAA7B7411F1","9B180B1AAA7B7411F1","9B180B1AAA7B7411F1","9B180B1AAA7B7411F1","9D180B1AAA7B7411F1","9D180B1AAA7B7411F1","9D180B1AAA7B7411F1","B4180B1AAA7B7411F1","B4180B1AAA7B7411F1","B4180B1AAA7B7411F1","B5180B1AAA7B7411F1","B5180B1AAA7B7411F1","B5180B1AAA7B7411F1","B6180B1AAA7B7411F1","B6180B1AAA7B7411F1","B6180B1AAA7B7411F1","B7180B1AAA7B7411F1","B7180B1AAA7B7411F1","B7180B1AAA7B7411F1","B8180B1AAA7B7411F1","B8180B1AAA7B7411F1","B8180B1AAA7B7411F1","B9180B1AAA7B7411F1","B9180B1AAA7B7411F1","B9180B1AAA7B7411F1","BA180B1AAA7B7411F1","BA180B1AAA7B7411F1","BA180B1AAA7B7411F1","BB180B1AAA7B7411F1","BB180B1AAA7B7411F1","BB180B1AAA7B7411F1","BC180B1AAA7B7411F1","BC180B1AAA7B7411F1","BC180B1AAA7B7411F1","BD180B1AAA7B7411F1","BD180B1AAA7B7411F1","BD180B1AAA7B7411F1","BE180B1AAA7B7411F1","BE180B1AAA7B7411F1","BE180B1AAA7B7411F1","BF180B1AAA7B7411F1","BF180B1AAA7B7411F1","BF180B1AAA7B7411F1","C0180B1AAA7B7411F1","C0180B1AAA7B7411F1","C0180B1AAA7B7411F1"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,327.020111,213.171890,86.290062,261.678711,175.042221,85.193947,248.191299,213.743164,85.278069,255.427719,261.401337,85.419632,264.053802,212.166870,84.730484,311.603363,211.315582,85.495216,320.892059,261.066589,86.772675,288.158691,261.235138,85.762161,313.282196,173.764801,86.501274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.005000,327.028900,213.168793,86.289322,261.683990,175.048309,85.195663,248.190659,213.742538,85.277512,255.428818,261.398834,85.418900,264.058594,212.181107,84.726578,311.615662,211.308289,85.493195,320.784088,260.987762,86.800514,288.164032,261.223724,85.754868,313.287018,173.755066,86.486588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.010000,327.030548,213.173904,86.294968,261.683044,175.045135,85.189491,248.190948,213.743210,85.270821,255.430573,261.402130,85.420532,264.104889,212.678802,84.873787,311.606628,211.314453,85.491821,320.890045,261.036926,86.766251,288.157593,261.228577,85.756599,313.283234,173.760483,86.492012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.015000,327.028625,213.171494,86.292854,261.686615,175.040009,85.193604,248.195297,213.741013,85.272476,255.428467,261.403320,85.419960,264.061218,212.207718,84.731201,311.609558,211.313995,85.488228,320.900299,261.066162,86.766724,288.153870,261.235748,85.760086,313.272949,173.768097,86.500443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.020000,327.027588,213.173248,86.293335,261.680176,175.040497,85.195496,248.194702,213.742828,85.273682,255.425720,261.401581,85.425468,264.109009,212.640900,84.854965,311.606201,211.307419,85.495102,320.892426,261.074005,86.774864,288.160065,261.227692,85.759583,313.272461,173.769028,86.498894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.025000,327.027374,213.160522,86.290657,261.682495,175.041168,85.188828,248.193085,213.739365,85.276794,255.428253,261.399384,85.424095,264.127838,212.298431,84.708229,311.530823,211.272964,85.550667,320.883575,261.074158,86.779945,288.157928,261.223206,85.753052,313.277130,173.769775,86.499107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
