Format Version,1.23,Take Name,CM_D_3,Take Notes,,Capture Frame Rate,200.000000,Export Frame Rate,200.000000,Capture Start Time,2026-07-20 03.34.50.082 PM,Capture Start Frame,1005803,Total Frames in Take,3897,Total Exported Frames,3897,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1130,Unlabeled 1130,Unlabeled 1130,Unlabeled 1131,Unlabeled 1131,Unlabeled 1131,Unlabeled 1132,Unlabeled 1132,Unlabeled 1132,Unlabeled 1133,Unlabeled 1133,Unlabeled 1133,Unlabeled 1134,Unlabeled 1134,Unlabeled 1134,Unlabeled 1135,Unlabeled 1135,Unlabeled 1135,Unlabeled 1136,Unlabeled 1136,Unlabeled 1136,Unlabeled 1137,Unlabeled 1137,Unlabeled 1137,Unlabeled 1138,Unlabeled 1138,Unlabeled 1138
,ID,"17975A8715D9843C11F1","17975A8715D9843C11F1","17975A8715D9843C11F1","179A5A8715D9843C11F1","179A5A8715D9843C11F1","179A5A8715D9843C11F1","179C5A8715D9843C11F1","179C5A8715D9843C11F1","179C5A8715D9843C11F1","18B85A8715D9843C11F1","18B85A8715D9843C11F1","18B85A8715D9843C11F1","18BE5A8715D9843C11F1","18BE5A8715D9843C11F1","18BE5A8715D9843C11F1","18C15A8715D9843C11F1","18C15A8715D9843C11F1","18C15A8715D9843C11F1","18CA5A8715D9843C11F1","18CA5A8715D9843C11F1","18CA5A8715D9843C11F1","18DD5A8715D9843C11F1","18DD5A8715D9843C11F1","18DD5A8715D9843C11F1","18E25A8715D9843C11F1","18E25A8715D9843C11F1","18E25A8715D9843C11F1"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,278.265289,278.154083,85.515144,311.310303,279.531372,86.240448,350.416382,230.658096,86.796066,344.928680,277.985504,86.964211,333.503540,228.139069,85.664398,333.153351,192.292358,85.851234,291.695984,228.909058,85.491524,293.220886,192.042572,85.274376,274.884552,229.888504,85.416756
1,0.005000,278.273895,278.132477,85.508476,311.311310,279.522522,86.239204,350.413269,230.653824,86.797829,344.934448,277.981873,86.959763,333.494141,228.136566,85.662369,333.158051,192.284042,85.845474,291.698120,228.901398,85.487419,293.220093,192.033035,85.270424,274.884979,229.896805,85.417343
2,0.010000,278.272827,278.129211,85.518097,311.311432,279.523254,86.234352,350.414764,230.647522,86.795471,344.930969,277.984039,86.961342,333.502899,228.136215,85.662476,333.156433,192.288452,85.850212,291.702301,228.898773,85.484673,293.219513,192.035843,85.272247,274.880463,229.881439,85.411789
3,0.015000,278.267822,278.136993,85.531456,311.312103,279.526093,86.236984,350.414703,230.656006,86.796539,344.930817,277.988129,86.963219,333.496307,228.150299,85.669823,333.155914,192.291061,85.851357,291.699860,228.905762,85.490852,293.219879,192.036438,85.273651,274.972687,229.923462,85.528091
4,0.020000,278.269470,278.150665,85.527397,311.315247,279.530273,86.239426,350.419434,230.652023,86.796829,344.933075,277.990631,86.962448,333.506775,228.135742,85.662140,333.158691,192.292542,85.851761,291.697479,228.905106,85.495232,293.218719,192.043274,85.276413,274.881073,229.886032,85.415070
5,0.025000,278.262146,278.149475,85.530602,311.307129,279.537842,86.243324,350.421051,230.654099,86.794060,344.932861,277.993774,86.963028,333.508606,228.131470,85.662628,333.154205,192.298981,85.855057,291.705719,228.899490,85.486900,293.220032,192.040100,85.274025,274.878418,229.876495,85.411087
